DATES,region,total_cases,border_cases,SUM_EVENTS,EVENT,distance,border_ev,border_region,prob_3,expected_3
1997-10,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-10,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-10,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-10,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-10,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-10,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-10,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-10,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
1997-10,Worodougou,0,0,0,0,120.76,0,1,0.014014325755221152,0
1997-10,Yamoussoukro,0,0,0,0,291.49,0,0,0.03800813008130058,0
1997-10,Bounkani,0,0,0,0,0,0,1,0.014014325755221152,0
1997-10,Gontougo,0,0,0,0,70.437,0,1,0.014014325755221152,0
1997-11,Abidjan,0,0,0,0,435.86,0,0,0.03800813008130058,0
1997-11,Gbokle,0,0,0,0,462.565,0,0,0.03800813008130058,0
1997-11,Nawa,0,0,0,0,398.402,0,0,0.03800813008130058,0
1997-11,San-Pedro,0,0,0,0,497.054,0,0,0.03800813008130058,0
1997-11,Indenie-Djuablin,0,0,0,0,235.608,0,0,0.03800813008130058,0
1997-11,Sud Comoe,0,0,0,0,351.809,0,0,0.03800813008130058,0
1997-11,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-11,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-11,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-11,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-11,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-11,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
1997-11,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-11,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-11,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-11,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-11,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-11,Cavally,0,0,0,0,354.354,0,0,0.03800813008130058,0
1997-11,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-11,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-11,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
1997-11,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-11,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-11,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-11,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-11,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-11,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-11,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-11,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
1997-11,Worodougou,0,0,0,0,120.76,0,1,0.014014325755221152,0
1997-11,Yamoussoukro,0,0,0,0,291.49,0,0,0.03800813008130058,0
1997-11,Bounkani,0,0,0,0,0,0,1,0.014014325755221152,0
1997-11,Gontougo,0,0,0,0,70.437,0,1,0.014014325755221152,0
1997-12,Abidjan,0,0,0,0,435.86,0,0,0.03800813008130058,0
1997-12,Gbokle,0,0,0,0,462.565,0,0,0.03800813008130058,0
1997-12,Nawa,0,0,0,0,398.402,0,0,0.03800813008130058,0
1997-12,San-Pedro,0,0,0,0,497.054,0,0,0.03800813008130058,0
1997-12,Indenie-Djuablin,0,0,0,0,235.608,0,0,0.03800813008130058,0
1997-12,Sud Comoe,0,0,0,0,351.809,0,0,0.03800813008130058,0
1997-12,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-12,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-12,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-12,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-12,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-12,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
1997-12,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-12,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-12,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-12,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-12,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-12,Cavally,0,0,0,0,354.354,0,0,0.03800813008130058,0
1997-12,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-12,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-12,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
1997-12,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-12,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-12,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-12,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-12,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-12,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-12,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-12,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
